;audio-in;audio-out;button;cv-in;cv-out;gate-in;gate-out;led-bi;led-mono;pot;switch;trim
Clouds;2;2;2;6;0;2;0;4;0;7;0;0
Pamela’s new workout;0;0;1;2;8;2;0;0;8;0;0;0
Morphagene;2;2;3;5;1;5;0;0;0;9;0;0
Plonk;0;1;9;6;0;1;0;0;3;4;0;4
Basimilus Iteritas Alter;0;1;1;9;0;1;0;2;1;7;2;0
Erbe-Verb;1;2;1;8;1;2;0;0;2;9;0;4
Braids 2015;0;1;0;4;0;1;0;0;0;6;0;0
Warps;2;2;1;4;0;0;0;1;0;2;0;2
Zadar;0;0;1;8;4;0;0;0;0;4;0;0
Voltage Block;0;0;22;2;8;0;0;0;8;0;1;3
Elements;2;2;1;13;0;1;0;1;1;17;0;10
Rainmaker;2;2;45;7;0;4;1;0;23;8;0;9
Shapeshifter;0;2;13;11;2;1;0;0;9;8;0;8
ONE;0;1;1;1;0;1;0;1;0;3;0;0
Spectral Multiband Resonant Filter;2;2;0;15;6;2;0;27;0;6;6;5
Tides 2014;0;0;2;6;4;3;0;3;0;5;0;0
Tides;0;0;3;6;4;2;0;3;0;5;0;5
Scales;0;0;18;2;2;1;1;0;1;0;0;0
Telharmonic;0;3;0;7;0;1;1;0;2;5;0;3
Loquelic Iteritas;0;1;0;6;0;1;0;1;0;8;2;0
arbhar;1;2;2;5;0;2;1;1;1;9;0;6
E350 Morphing Terrarium;0;2;0;5;0;1;0;0;0;6;2;0
